regions, flu_young, sari_young, cons_young, flu_ad, sari_ad, cons_ad, flu_ag, sari_ag, cons_ag, tot_flu, tot_sari, tot_cons, t_flu, t_sari
Tunis,962,5546,14868,890,2787,9811,1537,3295,24775,3389,11628,49454,6.852832936,23.51275933
Ariana,624,76,5361,738,79,6410,1566,114,23963,2928,269,35734,8.19387698,0.752784463
Mannouba,692,66,3833,1047,103,4478,2642,181,22318,4381,350,30629,14.30343792,1.142707891
Ben Arous,509,3954,10837,482,1220,6650,1202,2118,35887,2193,7292,53374,4.108742084,13.66208266
Bizerte,393,6320,16902,535,3761,14130,2382,9379,60906,3310,19460,91938,3.600252344,21.16643825
Nabeul,624,9515,22331,1579,4843,16944,5065,13248,107109,7268,27606,146384,4.9650235,18.85861843
Zaghouan,164,270,5177,162,66,2430,459,197,12653,728,354,17406,4.182465816,2.033781455
Beja,410,1204,6432,323,326,2996,875,764,15703,1608,2294,25131,6.398472007,9.128168398
Jendouba ,2184,6029,14616,1559,1847,13666,3535,2034,55633,7278,9910,83915,8.673062027,11.80956921
Le Kef,231,8726,17631,4756,284,13932,15557,0,105728,20544,9010,137291,14.96383594,6.562702581
Siliana,301,600,2611,1931,700,9301,5826,1796,48700,8058,3096,60612,13.29571702,5.107899426
Kairouan,2630,5179,35168,3017,3364,31125,10354,9256,149639,16001,17799,215932,7.410203212,8.242872756
Sousse,1091,7941,27370,1782,4170,25609,4513,9126,87474,7386,21237,140453,5.258698639,15.12036055
Mahdia,1026,2064,14488,1066,1,5823,2370,0,29467,4462,2065,49778,8.963799269,4.14841898
Monastir,557,272,4633,1091,28,7817,2738,121,22578,4317,180,34199,12.62317612,0.526331179
Kasserine,3428,2528,26274,1723,306,8379,4679,1107,48873,9830,3941,83526,11.76879056,4.71829131
Sfax,1103,4538,24718,2173,4000,42053,4788,6617,120562,8064,15155,187333,4.304633994,8.089872046
Gabes,2240,4115,31506,2820,2397,23063,7368,7439,116572,12445,13951,171141,7.271781747,8.151757907
Kebili,1833,6820,24319,1552,2372,17454,7811,8151,101430,11196,17343,143203,7.818271964,12.1107798
Gafsa,697,72,4067,904,97,6754,2072,243,23707,3673,412,34528,10.63774328,1.193234476
Sidi Bouzid,1904,7160,23647,1695,3620,28666,4080,6203,105986,7679,16983,158299,4.850946626,10.72843164
Tozeur,496,569,6784,778,693,8592,1687,1480,24559,2961,2742,39935,7.414548642,6.866157506
Medenine,1121,3034,21224,1258,1765,21469,2751,4595,92960,5130,9394,135653,3.78170774,6.925021931
Tataouin,630,751,3514,740,726,3451,1574,2049,23347,2944,3526,30312,9.712325152,11.63235682
