regions, flu_young, sari_young, cons_young, flu_ad, sari_ad, cons_ad, flu_ag, sari_ag, cons_ag, tot_flu, tot_sari, tot_cons, t_flu, t_sari
Tunis,178,2679,7599,168,791,3523,288,1002,14537,634,4472,25659,2.470867922,17.42858256
Ariana,3778,0,29189,5599,0,28174,9944,0,98327,19321,0,155690,12.40991714,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Arous,625,4297,10933,1341,2247,8275,2410,3729,36103,4376,10273,55311,7.911626982,18.57315905
Bizerte,2652,9580,21748,5253,6788,22249,9739,12148,87652,17644,28516,131649,13.40230461,21.66062788
Nabeul,2661,20312,37321,4761,8121,26030,9097,20346,139951,16519,48779,203302,8.125350464,23.99336947
Zaghouan,876,0,8305,1479,0,9323,3709,0,37355,6064,0,54983,11.02886347,0
Beja,837,1242,6593,1046,562,4239,1598,1254,14841,3481,3058,25673,13.55899194,11.91134655
Jendouba ,1486,5506,12443,1139,1846,7361,3077,2471,26989,5702,9823,46793,12.18558331,20.99245614
Le Kef,0,8841,20764,7865,0,22458,22155,0,114966,30020,8841,158188,18.97741927,5.588919513
Siliana,532,0,3444,2880,0,10146,7207,0,49807,10619,0,63397,16.75000394,0
Kairouan,2721,1747,17005,3851,2139,17735,8476,4421,65258,15048,8307,99998,15.04830097,8.307166143
Sousse,3149,6398,28513,3593,3596,19892,12165,7455,151737,18907,17449,200142,9.446792777,8.71831
Mahdia,1016,565,9921,1181,4,9667,2394,56,18492,4591,625,38080,12.05619748,1.641281513
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasserine,4264,210,27807,6834,316,21500,14033,1176,103636,25131,1702,152943,16.43161178,1.112832885
Sfax,1672,6105,20673,4301,5005,32268,8225,10208,121461,14198,21318,174402,8.140961686,12.22348368
Gabes,1982,1611,19308,3618,382,20844,11686,1113,84130,17286,3106,124282,13.90869152,2.499155147
Kebili,2213,4720,16999,4004,899,18267,9316,2391,85378,15533,8010,120644,12.87507046,6.639368721
Gafsa,680,23,5585,1747,0,7986,4975,0,43438,7402,23,57009,12.98391482,0.040344507
Sidi Bouzid,3541,5415,17493,4999,2977,18794,13351,4200,92680,21891,12592,128967,16.97410966,9.76373801
Tozeur,687,728,3143,1318,993,4795,2977,1965,19175,4982,3686,27113,18.37494929,13.59495445
Medenine,1494,8157,21803,2815,6335,24933,6878,14320,93199,11187,28812,139935,7.994425983,20.58955944
Tataouin,269,643,2882,550,749,4270,1354,1443,19408,2173,2835,26560,8.181475904,10.67394578
