Ben Arous,1,173,440,5,94,158,33,163,1468,39,430,2066,1,march,2010,1.888,20.813
Bizerte,37,279,571,20,176,465,139,507,2230,196,962,3266,1,march,2010,6.001,29.455
Nabeul,30,674,1279,13,235,820,99,692,4599,142,1601,6698,1,march,2010,2.12,23.903
Zaghouan,10,0,286,7,0,258,41,0,1176,58,0,1720,1,march,2010,3.372,0
Beja,10,0,138,5,0,59,17,0,288,32,0,485,1,march,2010,6.598,0
Jendouba ,45,184,457,14,31,157,85,87,1118,144,302,1732,1,march,2010,8.314,17.436
Le Kef,0,326,731,74,0,437,411,0,4018,485,326,5186,1,march,2010,9.352,6.286
Siliana,10,0,69,9,0,109,77,0,1005,96,0,1183,1,march,2010,8.115,0
Kairouan,0,0,0,0,0,0,0,0,0,0,0,0,1,march,2010,0,0
Sousse,64,231,1158,38,77,483,257,295,5868,359,603,7509,1,march,2010,4.781,8.03
Mahdia,19,10,264,30,0,337,49,3,593,98,13,1194,1,march,2010,8.208,1.089
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,1,march,2010,0,0
Kasserine,129,0,952,238,5,670,523,13,3750,890,18,5372,1,march,2010,16.567,0.335
Sfax,34,213,638,35,100,695,139,353,4161,208,666,5494,1,march,2010,3.786,12.122
Gabes,68,87,1098,135,10,1003,437,65,4363,640,162,6464,1,march,2010,9.901,2.506
Kebili,35,155,501,67,17,430,176,40,2728,278,212,3659,1,march,2010,7.598,5.794
Gafsa,16,0,110,18,0,122,44,0,956,78,0,1188,1,march,2010,6.566,0
Sidi Bouzid,56,144,356,27,56,242,141,83,2398,224,283,2996,1,march,2010,7.477,9.446
Tozeur,7,21,98,12,25,129,48,58,736,67,104,963,1,march,2010,6.957,10.8
Medenine,71,336,792,82,218,830,238,492,3084,391,1046,4706,1,march,2010,8.309,22.227
Tataouin,7,17,67,13,19,106,30,48,629,50,84,802,1,march,2010,6.234,10.474
Tunis,10,214,447,16,77,271,23,106,825,49,397,1543,2,march,2010,3.176,25.729
Ariana,127,0,1361,105,0,1041,247,0,4891,479,0,7293,2,march,2010,6.568,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,2,march,2010,0,0
Ben Arous,0,190,344,5,85,223,32,155,1327,37,430,1894,2,march,2010,1.954,22.703
Bizerte,29,244,548,20,207,540,76,455,2419,125,906,3507,2,march,2010,3.564,25.834
Nabeul,17,582,917,46,207,733,124,672,4534,187,1461,6184,2,march,2010,3.024,23.625
Zaghouan,15,0,169,17,0,175,57,0,882,89,0,1226,2,march,2010,7.259,0
Beja,24,20,121,10,5,117,22,48,522,56,73,760,2,march,2010,7.368,9.605
Jendouba ,42,144,342,23,46,187,65,70,940,130,260,1469,2,march,2010,8.85,17.699
Le Kef,0,0,0,0,0,0,0,0,0,0,0,0,2,march,2010,0,0
Siliana,13,0,117,29,0,353,110,0,1876,152,0,2346,2,march,2010,6.479,0
Kairouan,0,0,0,0,0,0,0,0,0,0,0,0,2,march,2010,0,0
Sousse,33,121,496,42,73,355,108,167,2529,183,361,3380,2,march,2010,5.414,10.68
Mahdia,15,8,254,22,0,360,42,6,561,79,14,1175,2,march,2010,6.723,1.191
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,2,march,2010,0,0
Kasserine,82,2,746,186,0,609,381,6,3265,649,8,4620,2,march,2010,14.048,0.173
Sfax,30,200,567,60,146,867,134,334,3946,224,680,5380,2,march,2010,4.164,12.639
Gabes,29,100,576,92,16,620,253,31,2540,374,147,3736,2,march,2010,10.011,3.935
Kebili,0,0,0,0,0,0,0,0,0,0,0,0,2,march,2010,0,0
Gafsa,10,0,40,22,0,130,188,0,795,220,0,965,2,march,2010,22.798,0
Sidi Bouzid,0,0,0,0,0,0,0,0,0,0,0,0,2,march,2010,0,0
Tozeur,5,15,72,36,40,209,37,80,666,78,135,947,2,march,2010,8.237,14.256
Medenine,23,276,683,59,215,893,198,499,3070,280,990,4646,2,march,2010,6.027,21.309
Tataouin,7,11,84,7,20,111,16,39,637,30,70,832,2,march,2010,3.606,8.413
Tunis,6,295,558,10,107,315,42,101,925,58,503,1798,3,march ,2010,3.226,27.976
Ariana,72,0,865,29,0,395,62,0,1767,163,0,3027,3,march ,2010,5.385,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,3,march ,2010,0,0
Ben Arous,0,0,0,0,0,0,0,0,0,0,0,0,3,march ,2010,0,0
Bizerte,19,74,241,21,67,186,59,183,1630,99,324,2057,3,march ,2010,4.813,15.751
Nabeul,23,586,948,25,175,451,102,592,4089,150,1353,5488,3,march ,2010,2.733,24.654
