regions, flu_young, sari_young, cons_young, flu_ad, sari_ad, cons_ad, flu_ag, sari_ag, cons_ag, tot_flu, tot_sari, tot_cons, t_flu, t_sari
Tunis,1249,7101,16928,777,2489,10847,1379,2429,21383,3405,12019,49158,6.926644697,24.44973351
Ariana,212,11,5498,329,29,4946,987,34,22802,1528,74,33246,4.596041629,0.222583168
Mannouba,774,22,5351,1170,195,6076,3117,551,29290,5061,768,40717,12.42969767,1.886190043
Ben Arous,263,1760,9247,624,482,5277,2631,903,28902,3518,3145,43426,8.101137567,7.242205131
Bizerte,405,2742,16279,432,1212,9414,1960,2632,43526,2797,6586,69219,4.040798047,9.514728615
Nabeul,85,5989,12419,641,2914,9671,2277,7788,57139,3003,16691,79229,3.790278812,21.0667811
Zaghouan,132,0,1725,331,0,3291,662,0,10361,1125,0,15377,7.31612148,0
Beja,249,189,2307,280,82,4031,1004,174,22281,1533,445,28619,5.356581292,1.554911073
Jendouba ,3131,4865,12760,1405,1322,9139,2458,977,26642,6994,7164,48541,14.40843823,14.75865763
Le Kef,0,4770,18593,3958,0,15576,13041,0,117575,16999,4770,151744,11.20241987,3.14345213
Siliana,38,0,890,173,0,2088,634,0,9922,845,0,12900,6.550387597,0
Kairouan,1075,3855,26844,2043,2347,25024,5707,7326,109204,8808,13528,161902,5.4403281,8.35567195
Sousse,167,560,6820,427,436,9211,1327,888,35332,1886,1884,51521,3.660643233,3.656761321
Mahdia,576,75,7222,464,0,2494,671,0,10941,1611,75,20767,7.75749988,0.361149901
Monastir,179,6,1799,659,81,2632,536,8,12705,918,14,17195,5.338761268,0.081419017
Kasserine,666,27,6715,1882,315,2764,1358,123,21309,2424,187,30788,7.87319735,0.607379499
Sfax,528,3188,16005,1326,2485,14734,2204,4967,73463,3527,10311,104202,3.384771885,9.895203547
Gabes,1763,3305,24606,2176,1957,22875,6015,5657,117793,10071,10932,165274,6.093517432,6.614470516
Kebili,2021,7820,29720,1630,3448,20272,7353,10272,109454,10641,21630,159446,6.6737328,13.56572131
Gafsa,335,0,4388,393,47,4699,785,0,21423,1356,0,30510,4.444444444,0
Sidi Bouzid,211,460,2746,240,87,1103,353,133,4706,684,680,8555,7.995324372,7.948568089
Tozeur,351,1347,3882,407,1417,5540,1215,3128,22859,1973,5892,32281,6.1119544,18.25222267
Medenine,317,5,5559,592,3,3576,1072,0,14881,1981,8,24016,8.248667555,0.033311126
Tataouin,686,538,2855,737,544,3169,1727,1394,18645,3150,2476,24669,12.76906239,10.0368884
